#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,exchange,symbol,timeframe
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-15T17:37:32.73Z,117232.645,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-15T22:25:42.732Z,116882.80888888892,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-16T03:13:52.734Z,117628.52400000002,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-16T08:02:02.736Z,117932.30099999998,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-16T12:50:12.738Z,118902.77555555555,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-16T17:38:22.74Z,119080.55500000002,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-16T22:26:32.742Z,119449.08888888889,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-17T03:14:42.744Z,118511.67899999997,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-17T08:02:52.746Z,118351.05500000001,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-17T12:51:02.748Z,118294.11555555556,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-17T17:39:12.75Z,118613.23399999998,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-17T22:27:22.752Z,119734.56777777776,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-18T03:15:32.754Z,119868.73999999999,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-18T08:03:42.756Z,120034.37999999998,close,prices,binance,BTCUSDT,30m
