symbol,timeframe,ts,o,h,l,c,v,source
BTC/USDT,1m,1758638100000,112680.0,112680.0,112616.93,112661.93,40.79515,binance_ws
BTC/USDT,1m,1758638160000,112661.94,112678.54,112616.93,112664.0,23.32069,binance_ws
BTC/USDT,1m,1758638220000,112664.0,112764.76,112664.0,112764.75,20.3482,binance_ws
BTC/USDT,1m,1758638280000,112764.76,112764.76,112689.51,112701.42,4.99612,binance_ws
BTC/USDT,1m,1758638340000,112701.43,112776.0,112701.42,112775.99,3.95416,binance_ws
BTC/USDT,1m,1758638400000,112776.0,112783.74,112722.78,112747.84,9.90486,binance_ws
BTC/USDT,1m,1758638460000,112747.84,112854.18,112747.84,112854.18,9.7952,binance_ws
BTC/USDT,1m,1758638520000,112854.17,112856.29,112796.29,112796.29,5.04765,binance_ws
BTC/USDT,1m,1758638580000,112796.3,112819.17,112768.78,112797.31,2.67084,binance_ws
BTC/USDT,1m,1758638640000,112797.31,112814.24,112771.33,112814.23,2.03311,binance_ws
BTC/USDT,1m,1758638700000,112814.24,112816.03,112781.84,112784.26,4.0939,binance_ws
BTC/USDT,1m,1758638760000,112784.25,112784.25,112722.78,112734.08,11.68655,binance_ws
BTC/USDT,1m,1758638820000,112734.08,112767.4,112722.8,112767.39,4.90343,binance_ws
BTC/USDT,1m,1758638880000,112767.39,112767.39,112700.0,112714.7,7.58787,binance_ws
BTC/USDT,1m,1758638940000,112714.7,112735.93,112700.01,112700.02,5.61498,binance_ws
BTC/USDT,1m,1758639000000,112700.01,112700.02,112641.87,112641.87,7.46596,binance_ws
BTC/USDT,1m,1758639060000,112641.88,112663.92,112633.16,112652.89,9.42252,binance_ws
BTC/USDT,1m,1758639120000,112652.89,112660.01,112616.93,112636.94,4.73438,binance_ws
BTC/USDT,1m,1758639120000,112652.89,112660.01,112616.93,112636.94,4.73438,binance_ws
BTC/USDT,1m,1758639180000,112636.94,112641.24,112571.81,112616.44,25.41875,binance_ws
BTC/USDT,1m,1758639240000,112616.43,112683.37,112606.1,112683.37,12.17999,binance_ws
